2025-10-28 12:36:45,093 - __main__ - INFO - IPTV直播源整理工具 开始运行
2025-10-28 12:36:45,141 - __main__ - INFO - 开始获取直播源数据...
2025-10-28 12:36:46,393 - __main__ - INFO - 开始解析直播源数据...
2025-10-28 12:36:46,393 - __main__ - INFO - 解析TXT格式数据...
2025-10-28 12:36:46,417 - __main__ - INFO - 解析完成: 59个频道
2025-10-28 12:36:46,418 - __main__ - INFO - 开始频道测速处理...
2025-10-28 12:36:46,418 - __main__ - INFO - 开始测速 59 个频道...
2025-10-28 12:46:57,298 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=061, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=061', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:46:57,298 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=061, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=061', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:47:03,275 - __main__ - WARNING - 测速失败: http://60.29.124.66:6080/hls/14/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://60.29.124.66:6080/hls/14/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:47:03,298 - __main__ - WARNING - 测速失败: http://111.43.126.240:9003/hls/15/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://111.43.126.240:9003/hls/15/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:47:03,478 - __main__ - WARNING - 测速失败: http://lt.hxtre.com:35455/gaoma/cctv3.m3u8, 错误: Command '['ffmpeg', '-i', 'http://lt.hxtre.com:35455/gaoma/cctv3.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:47:03,816 - __main__ - WARNING - 测速失败: http://60.29.124.66:6080/hls/14/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://60.29.124.66:6080/hls/14/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:47:07,983 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=062, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=062', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:47:07,986 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=062, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=062', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:47:14,185 - __main__ - WARNING - 测速失败: http://111.43.126.240:9003/hls/16/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://111.43.126.240:9003/hls/16/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:47:14,329 - __main__ - WARNING - 测速失败: http://lt.hxtre.com:35455/gaoma/cctv4k.m3u8, 错误: Command '['ffmpeg', '-i', 'http://lt.hxtre.com:35455/gaoma/cctv4k.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:47:18,897 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=063, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=063', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:47:26,067 - __main__ - WARNING - 测速失败: http://111.43.126.240:9003/hls/17/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://111.43.126.240:9003/hls/17/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:47:30,071 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=064, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=064', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:47:30,075 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=064, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=064', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:47:35,157 - __main__ - WARNING - 测速失败: http://111.43.126.240:9003/hls/18/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://111.43.126.240:9003/hls/18/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:47:35,330 - __main__ - WARNING - 测速失败: http://www.douzhicloud.site:35455/gaoma/cctv5p.m3u8, 错误: Command '['ffmpeg', '-i', 'http://www.douzhicloud.site:35455/gaoma/cctv5p.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:47:35,480 - __main__ - WARNING - 测速失败: http://cfss.cc/api/ysp/cctv5p.m3u8, 错误: Command '['ffmpeg', '-i', 'http://cfss.cc/api/ysp/cctv5p.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:47:39,851 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=246, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=246', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
2025-10-28 12:47:50,602 - __main__ - WARNING - 测速失败: http://111.43.126.240:9003/hls/19/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://111.43.126.240:9003/hls/19/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 183.
2025-10-28 12:47:50,606 - __main__ - WARNING - 测速失败: http://60.29.124.66:6080/hls/17/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://60.29.124.66:6080/hls/17/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:47:50,616 - __main__ - WARNING - 测速失败: http://60.29.124.66:6080/hls/17/index.m3u8, 错误: Command '['ffmpeg', '-i', 'http://60.29.124.66:6080/hls/17/index.m3u8', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:47:52,601 - __main__ - WARNING - 测速失败: http://xxwx.yoesun.com/xxw/1905电影网.php?id=cctv6, 错误: Command '['ffmpeg', '-i', 'http://xxwx.yoesun.com/xxw/1905电影网.php?id=cctv6', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:47:52,603 - __main__ - WARNING - 测速失败: http://xxwx.yoesun.com/xxw/1905电影网.php?id=cctv6, 错误: Command '['ffmpeg', '-i', 'http://xxwx.yoesun.com/xxw/1905电影网.php?id=cctv6', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 8.
2025-10-28 12:47:55,284 - __main__ - WARNING - 测速失败: http://ygbh.site/php/bfgd.php?id=065, 错误: Command '['ffmpeg', '-i', 'http://ygbh.site/php/bfgd.php?id=065', '-t', '10', '-f', 'null', '-', '-v', 'quiet', '-stats']' returned non-zero exit status 146.
